Symbol,Date,Open,High,Low,Adj Close,Volume
AAPL,02/06/2015,129.86,130.66,129.32001,129.96001,33556900
AAPL,01/06/2015,130.28,131.39,130.05,130.53999,31956000
AAPL,29/05/2015,131.23,131.45,129.89999,130.28,50338200
AAPL,28/05/2015,131.86,131.95,131.10001,131.78,30647300
AAPL,27/05/2015,130.34,132.25999,130.05,132.03999,45662800
AAPL,26/05/2015,132.60001,132.91,129.12,129.62,70193700
AAPL,22/05/2015,131.60001,132.97,131.39999,132.53999,45123800
AAPL,21/05/2015,130.07001,131.63,129.83,131.39,39307500
AAPL,20/05/2015,130.0,130.98,129.34,130.06,35965000
AAPL,19/05/2015,130.69,130.88,129.64,130.07001,44351200
AAPL,18/05/2015,128.38,130.72,128.36,130.19,50176600
AAPL,15/05/2015,129.07001,129.49001,128.21001,128.77,37921200
AAPL,14/05/2015,127.41,128.95,127.16,128.95,44487500
AAPL,13/05/2015,126.15,127.19,125.87,126.01,34322000
AAPL,12/05/2015,125.6,126.88,124.82,125.87,47109200
AAPL,11/05/2015,127.39,127.56,125.63,126.32,42035800
AAPL,08/05/2015,126.68,127.62,126.11,127.62,55550400
AAPL,07/05/2015,124.77,126.08,124.02,125.26,43940900
AAPL,06/05/2015,126.56,126.75,123.36,124.49,72141000
AAPL,05/05/2015,128.14999,128.45,125.78,125.27671000000001,49271400
AAPL,04/05/2015,129.5,130.57001,128.25999,128.16464,50988300
AAPL,01/05/2015,126.1,130.13,125.3,128.41361,58512600
AAPL,30/04/2015,128.64,128.64,124.58,124.62942,83195400
AAPL,29/04/2015,130.16,131.59,128.3,128.1049,63386100
AAPL,28/04/2015,134.46001,134.53999,129.57001,130.01691,118924000
AAPL,27/04/2015,132.31,133.13,131.14999,132.09821000000002,96954200
AAPL,24/04/2015,130.49001,130.63,129.23,129.73807,44525900
AAPL,23/04/2015,128.3,130.42,128.14,129.13061000000002,45770900
AAPL,22/04/2015,126.99,128.87,126.32,128.08498,37654500
AAPL,21/04/2015,128.10001,128.2,126.67,126.3821,32435100
AAPL,20/04/2015,125.57,128.12,125.17,127.06922,47054300
AAPL,17/04/2015,125.55,126.14,124.46,124.23108,51957000
AAPL,16/04/2015,126.28,127.1,126.11,125.64517,28369000
AAPL,15/04/2015,126.41,127.13,126.01,126.25263000000001,28970400
AAPL,14/04/2015,127.0,127.29,125.91,125.77463,25524600
AAPL,13/04/2015,128.37,128.57001,126.61,126.32234,36365100
AAPL,10/04/2015,125.95,127.21,125.26,126.5713,40188000
AAPL,09/04/2015,125.85,126.58,124.66,126.03355,32484000
AAPL,08/04/2015,125.85,126.4,124.97,125.07753999999998,37329200
AAPL,07/04/2015,127.64,128.12,125.98,125.48584,35012300
AAPL,06/04/2015,124.47,127.51,124.33,126.82026,37194000
AAPL,02/04/2015,125.03,125.56,124.19,124.79871000000001,32220100
AAPL,01/04/2015,124.82,125.12,123.1,123.73316000000001,40621400
AAPL,31/03/2015,126.09,126.49,124.36,123.91241000000001,42090600
AAPL,30/03/2015,124.05,126.4,124.0,125.84433999999999,47099700
AAPL,27/03/2015,124.57,124.7,122.91,122.73732,39546200
AAPL,26/03/2015,122.76,124.88,122.6,123.7232,47572900
AAPL,25/03/2015,126.54,126.82,123.38,122.86676999999999,51655200
AAPL,24/03/2015,127.23,128.03999,126.56,126.16301000000001,32842300
AAPL,23/03/2015,127.12,127.85,126.52,126.68085,37709700
AAPL,20/03/2015,128.25,128.39999,125.16,125.3763,68695100
AAPL,19/03/2015,128.75,129.25,127.4,126.96963999999998,45809500
AAPL,18/03/2015,127.0,129.16,126.37,127.93561000000001,65270900
AAPL,17/03/2015,125.9,127.32,125.65,126.51155,51023100
AAPL,16/03/2015,123.88,124.95,122.87,124.43024,35874300
AAPL,13/03/2015,124.4,125.4,122.58,123.0759,51827300
AAPL,12/03/2015,122.31,124.9,121.63,123.93231999999999,48362700
AAPL,11/03/2015,124.75,124.77,122.11,121.73151999999999,68939000
AAPL,10/03/2015,126.41,127.22,123.8,123.99208,68856600
AAPL,09/03/2015,127.96,129.57001,125.06,126.61113999999999,88528500
AAPL,06/03/2015,128.39999,129.37,126.26,126.07338,72842100
AAPL,05/03/2015,128.58,128.75,125.76,125.88418,56517100
AAPL,04/03/2015,129.10001,129.56,128.32001,128.00531,31666300
AAPL,03/03/2015,128.96001,129.52,128.09,128.8219,37816300
AAPL,02/03/2015,129.25,130.28,128.3,128.55302,48096700
AAPL,27/02/2015,130.0,130.57001,128.24001,127.92565,62014800
AAPL,26/02/2015,128.78999,130.87,126.61,129.87749,91287500
AAPL,25/02/2015,131.56,131.60001,128.14999,128.25427,74711700
AAPL,24/02/2015,132.94,133.60001,131.17,131.62021000000001,69228100
AAPL,23/02/2015,130.02,133.0,129.66,132.44676,70974100
AAPL,20/02/2015,128.62,129.5,128.05,128.96132,48948400
AAPL,19/02/2015,128.48,129.03,128.33,127.91568000000001,37362400
AAPL,18/02/2015,127.63,128.78,127.45,128.18457,44891700
AAPL,17/02/2015,127.49,128.88,126.92,127.29827,63152400
AAPL,13/02/2015,127.28,127.28,125.65,126.55138999999998,54272200
AAPL,12/02/2015,126.06,127.48,125.57,125.93396000000001,74474500
AAPL,11/02/2015,122.77,124.92,122.5,124.36053999999999,73561800
AAPL,10/02/2015,120.17,122.15,120.16,121.51243000000001,62008500
AAPL,09/02/2015,118.55,119.84,118.43,119.22200000000001,38889800
AAPL,06/02/2015,120.02,120.25,118.45,118.43529,43372000
AAPL,05/02/2015,120.02,120.23,119.25,119.44108999999999,42246200
AAPL,04/02/2015,118.5,120.51,118.31,118.59461999999999,70149700
AAPL,03/02/2015,118.5,119.09,117.61,117.69197,51915700
AAPL,02/02/2015,118.05,119.17,116.08,117.67213000000001,62739100
AAPL,30/01/2015,118.4,120.0,116.85,116.21401000000002,83745500
AAPL,29/01/2015,116.32,119.19,115.56,117.93996000000001,84436400
AAPL,28/01/2015,117.63,118.12,115.31,114.37893999999999,146477100
AAPL,27/01/2015,112.42,112.48,109.03,108.25876000000001,95568700
AAPL,26/01/2015,113.74,114.36,112.8,112.18678,55615000
AAPL,23/01/2015,112.3,113.75,111.53,112.06776,46464800
AAPL,22/01/2015,110.26,112.47,109.72,111.49243999999999,53796400
AAPL,21/01/2015,108.95,111.06,108.27,108.66545,48575900
AAPL,20/01/2015,107.84,108.97,106.5,107.84215,49899900
AAPL,16/01/2015,107.03,107.58,105.2,105.13418999999999,78513300
AAPL,15/01/2015,110.0,110.06,106.66,105.95748999999999,60014000
AAPL,14/01/2015,109.04,110.49,108.5,108.91343,48956600
AAPL,13/01/2015,111.43,112.8,108.91,109.33004,67091900
AAPL,12/01/2015,112.6,112.63,108.8,108.36787,49650800
AAPL,09/01/2015,112.67,113.25,110.21,111.10558999999999,53699500
AAPL,08/01/2015,109.23,112.15,108.7,110.98655,59364500
AAPL,07/01/2015,107.2,108.2,106.7,106.87998,40105900
AAPL,06/01/2015,106.54,107.43,104.63,105.40202,65797100
AAPL,05/01/2015,108.29,108.65,105.41,105.39209,64285500
AAPL,02/01/2015,111.39,111.44,107.35,108.44723,53204600
AAPL,31/12/2014,112.82,113.13,110.21,109.48873999999999,41403400
AAPL,30/12/2014,113.64,113.92,112.11,111.61146000000001,29881500
ALTR,02/06/2015,51.64,51.79,51.54,51.7,19846300
ALTR,01/06/2015,51.89,51.91,51.56,51.68,74323000
ALTR,29/05/2015,49.77,50.1,48.44,48.85,21246600
ALTR,28/05/2015,47.57,47.57,46.58,46.97,5182800
ALTR,27/05/2015,46.92,49.52,46.69,47.86,6466400
ALTR,26/05/2015,47.15,47.24,46.57,46.74,2731700
ALTR,22/05/2015,47.01,47.69,46.9,47.37,2443900
ALTR,21/05/2015,46.57,47.36,46.4,47.04,2761700
ALTR,20/05/2015,46.87,47.28,46.65,46.67,4356400
ALTR,19/05/2015,47.02,47.38,46.6,46.85,5634000
ALTR,18/05/2015,46.95,47.9,46.5,46.93,8730800
ALTR,15/05/2015,44.15,44.79,43.84,44.42,3981400
ALTR,14/05/2015,44.21,44.4,43.53,44.31,3513200
ALTR,13/05/2015,43.94,44.45,43.47,43.83,3171000
ALTR,12/05/2015,44.07,44.88,43.4,44.01,4803500
ALTR,11/05/2015,44.39,44.71,43.94,44.28,2348400
ALTR,08/05/2015,44.32,45.0,44.27,44.46,3627200
ALTR,07/05/2015,44.13,45.17,44.04,44.6,4499000
ALTR,06/05/2015,44.64,45.14,43.75,44.0,3829800
ALTR,05/05/2015,44.71,45.04,44.33,44.42825,4078800
ALTR,04/05/2015,44.67,45.23,44.21,44.83658,5471400
ALTR,01/05/2015,44.07,46.5,44.04,45.57356,16283800
ALTR,30/04/2015,40.49,42.06,40.47,41.51019,7004600
ALTR,29/04/2015,39.96,40.84,39.42,40.5541,5627100
ALTR,28/04/2015,40.09,40.55,39.81,39.98642,4810300
ALTR,27/04/2015,40.65,42.0,39.73,40.09597,8911700
ALTR,24/04/2015,42.3,42.3,40.49,40.7234,15006800
ALTR,23/04/2015,42.38,42.69,41.73,41.91852,9196000
ALTR,22/04/2015,42.87,43.17,42.4,42.6057,4690500
ALTR,21/04/2015,43.37,43.85,42.95,43.063829999999996,4171000
ALTR,20/04/2015,44.08,44.14,42.78,42.984159999999996,6425800
ALTR,17/04/2015,42.95,44.2,42.81,43.84065,6817700
ALTR,16/04/2015,43.4,43.99,43.08,43.17338,5098700
ALTR,15/04/2015,42.74,43.83,42.3,43.2431,6566500
ALTR,14/04/2015,44.43,44.51,42.4,42.37664,10239200
ALTR,13/04/2015,44.12,45.36,43.3,43.681309999999996,8825800
ALTR,10/04/2015,43.21,45.38,42.85,44.33862,16551000
ALTR,09/04/2015,38.94,44.18,38.67,43.15347,37429800
ALTR,08/04/2015,41.35,42.06,41.07,41.82888,4397000
ALTR,07/04/2015,41.15,42.16,40.45,41.19149,7683000
